iter	Logloss
0	0.6194589615
1	0.5515379906
2	0.5111600876
3	0.4765513897
4	0.4352207184
5	0.4085618973
6	0.3847661018
7	0.3685362101
8	0.3544106245
9	0.3328122377
10	0.3183356524
11	0.2971267462
12	0.2874575615
13	0.2830272675
14	0.2679888248
15	0.2591184139
16	0.2541627884
17	0.2501871586
18	0.2456441402
19	0.2425214052
20	0.2377663374
21	0.2317711115
22	0.2283906221
23	0.2242540359
24	0.222036314
25	0.2197327614
26	0.2161181688
27	0.2133345127
28	0.2101426125
29	0.2068834066
30	0.202905941
31	0.2011289597
32	0.1993045807
33	0.1961170912
34	0.1932855487
35	0.191530323
36	0.1881972313
37	0.1856880069
38	0.1824868202
39	0.1801966429
40	0.1748710036
41	0.1733465791
42	0.1716519594
43	0.1700834632
44	0.1681388378
45	0.1672584176
46	0.1643743753
47	0.1629431248
48	0.1615085363
49	0.1585588217
